emp_no,first_name,last_name,dept_name
10001,Georgi,Facello,Development
10018,Kazuhide,Peha,Development
10053,Sanjiv,Zschoche,Sales
10066,Kwee,Schusler,Development
10070,Reuven,Garigliano,Development
10072,Hironoby,Sidou,Development
10076,Erez,Ritzmann,Development
10088,Jungsoon,Syrzycki,Sales
10103,Akemi,Birch,Development
10129,Armond,Peir,Development
10134,Diederik,Siprelle,Development
10150,Zhenbing,Perng,Development
10153,Heekeun,Majewski,Development
10157,Nigel,Aloisi,Development
10198,Pranav,Furedi,Development
10215,Xiaobin,Duclos,Sales
10258,Basil,Ishibashi,Development
10283,Kauko,Birjandi,Development
10355,Satyanarayana,Cochrane,Sales
10396,Sibyl,Rahier,Development
10404,Prodip,Rosti,Development
10426,Arunas,Luce,Development
10429,Martien,Improta,Development
10463,Ung,Zaiane,Sales
10504,Xiong,Varker,Sales
10548,Ramalingam,Gunderson,Sales
10623,Aleksander,Danlos,Development
10628,Krisda,Krogh,Development
10631,Inderjeet,Chaudhuri,Development
10642,Hirochika,Narlikar,Development
10653,Otmar,Feinberg,Development
10676,Valeri,Danley,Development
10702,Bader,Szemeredi,Development
10718,Adib,Rullman,Development
10726,Zita,Minakawa,Development
10767,Monique,Doering,Sales
10791,Tadahiko,Sgarro,Development
10795,Supot,Naudin,Sales
10808,Chenxi,Leijenhorst,Development
10836,Jianhua,Leivant,Sales
10844,Dipayan,Koprowski,Development
10878,Lakshmi,Deville,Sales
10879,Muzhong,Chleq,Development
10909,Georgi,Atchley,Development
10924,Hironoby,Atchley,Sales
10943,Berna,Skafidas,Development
10965,Eckart,Braunschweig,Sales
10969,Premal,Noriega,Development
10974,Muneo,Papsdorf,Development
10986,Masako,Schiper,Development
10988,Chinya,Deyuan,Development
10990,Shin,Foote,Development
11009,Alper,Axelband,Sales
11019,Leon,Huttel,Development
11042,Gou,Breugel,Development
11048,Jaques,Demke,Sales
11106,Aris,Iwayama,Development
11121,Vugranam,Kakkad,Development
11137,Hugh,Luca,Development
11146,Ishfaq,Masand,Sales
11162,Kauko,Narlikar,Development
11180,Mitsuyuki,Bojadziev,Development
11197,Tadahiro,Fordan,Sales
11207,Saeed,Gips,Development
11240,Kiam,Condotta,Development
11249,Randi,Cyre,Development
11275,Hitomi,Eppinger,Development
11290,Visit,Dredge,Development
11319,Pranas,Marrakchi,Development
11338,Kwangsub,Hanratty,Sales
11347,Anneli,Jonsson,Development
11380,Kenroku,Pelc,Development
11404,Bedrich,Borovoy,Development
11441,Marlo,Aingworth,Sales
11506,Rance,Picel,Sales
11509,Aleksander,Feldhoffer,Development
11515,Ulf,Basawa,Sales
11524,Xiadong,Standera,Development
11537,DAIDA,Pehl,Sales
11567,Teiji,Mitzlaff,Sales
11568,Martins,Fujisaki,Development
11615,Shem,Isaak,Sales
11628,Fan,Malinowski,Development
11640,Valeri,Coorg,Development
11647,Magy,Nitsche,Development
11660,Gill,Stenning,Sales
11696,Dante,Rothe,Sales
11746,Koichi,Marrakchi,Sales
11769,Chandrasekaran,Lampe,Development
11772,Gaurav,Penz,Development
